ERPset,value,worklat,chindex,chlabel,bini,binlabel
117-61,220,  [206.0  400.0],130,Posterior,8,  Happy2
117-66,318,  [206.0  400.0],130,Posterior,8,  Happy2
117-69,218,  [206.0  400.0],130,Posterior,8,  Happy2
117-71,254,  [206.0  400.0],130,Posterior,8,  Happy2
117-76,316,  [206.0  400.0],130,Posterior,8,  Happy2
117-77,248,  [206.0  400.0],130,Posterior,8,  Happy2
118-107,338,  [206.0  400.0],130,Posterior,8,  Happy2
118-119,244,  [206.0  400.0],130,Posterior,8,  Happy2
118-128,296,  [206.0  400.0],130,Posterior,8,  Happy2
118-132,304,  [206.0  400.0],130,Posterior,8,  Happy2
118-143,270,  [206.0  400.0],130,Posterior,8,  Happy2
118-172,318,  [206.0  400.0],130,Posterior,8,  Happy2
118-198,212,  [206.0  400.0],130,Posterior,8,  Happy2
118-229,368,  [206.0  400.0],130,Posterior,8,  Happy2
118-232,244,  [206.0  400.0],130,Posterior,8,  Happy2
118-286,386,  [206.0  400.0],130,Posterior,8,  Happy2
118-300,392,  [206.0  400.0],130,Posterior,8,  Happy2
118-313,298,  [206.0  400.0],130,Posterior,8,  Happy2
118-46,318,  [206.0  400.0],130,Posterior,8,  Happy2
119-102,212,  [206.0  400.0],130,Posterior,8,  Happy2
119-112,278,  [206.0  400.0],130,Posterior,8,  Happy2
222-11,288,  [206.0  400.0],130,Posterior,8,  Happy2
222-13,268,  [206.0  400.0],130,Posterior,8,  Happy2
222-34,234,  [206.0  400.0],130,Posterior,8,  Happy2
222-36,274,  [206.0  400.0],130,Posterior,8,  Happy2
222-4,212,  [206.0  400.0],130,Posterior,8,  Happy2
248-10,230,  [206.0  400.0],130,Posterior,8,  Happy2
248-23,210,  [206.0  400.0],130,Posterior,8,  Happy2
248-25,260,  [206.0  400.0],130,Posterior,8,  Happy2
250-10,262,  [206.0  400.0],130,Posterior,8,  Happy2
250-22,232,  [206.0  400.0],130,Posterior,8,  Happy2
250-23,270,  [206.0  400.0],130,Posterior,8,  Happy2
250-26,272,  [206.0  400.0],130,Posterior,8,  Happy2
250-27,264,  [206.0  400.0],130,Posterior,8,  Happy2
250-36,296,  [206.0  400.0],130,Posterior,8,  Happy2
250-39,242,  [206.0  400.0],130,Posterior,8,  Happy2
255-22,208,  [206.0  400.0],130,Posterior,8,  Happy2
255-23,324,  [206.0  400.0],130,Posterior,8,  Happy2
255-33,266,  [206.0  400.0],130,Posterior,8,  Happy2
255-43,300,  [206.0  400.0],130,Posterior,8,  Happy2
255-44,218,  [206.0  400.0],130,Posterior,8,  Happy2
255-62,248,  [206.0  400.0],130,Posterior,8,  Happy2
255-63,326,  [206.0  400.0],130,Posterior,8,  Happy2
255-64,334,  [206.0  400.0],130,Posterior,8,  Happy2
255-72,296,  [206.0  400.0],130,Posterior,8,  Happy2
255-81,226,  [206.0  400.0],130,Posterior,8,  Happy2
